month1,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct1,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_del,carrier_del,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,MQ,Envoy Air,SAV,"Savannah, GA: Savannah/Hilton Head International",65.0,15.0,3.41,0.71,4.33,0.0,6.56,1.0,1.0,601.0,180.0,29.0,129.0,0.0,263.0
1,MQ,Envoy Air,SDF,"Louisville, KY: Louisville Muhammad Ali International",61.0,18.0,2.7,1.01,8.93,0.0,5.37,1.0,0.0,890.0,180.0,36.0,383.0,0.0,291.0
1,MQ,Envoy Air,SGF,"Springfield, MO: Springfield-Branson National",428.0,80.0,13.31,5.18,27.42,0.0,34.09,15.0,0.0,3954.0,705.0,213.0,982.0,0.0,2054.0
1,MQ,Envoy Air,SHV,"Shreveport, LA: Shreveport Regional",174.0,28.0,5.97,1.17,11.15,0.0,9.72,0.0,0.0,1655.0,360.0,55.0,268.0,0.0,972.0
1,MQ,Envoy Air,SJT,"San Angelo, TX: San Angelo Regional/Mathis Field",135.0,23.0,10.78,0.35,6.54,0.0,5.33,2.0,0.0,835.0,320.0,27.0,192.0,0.0,296.0
1,MQ,Envoy Air,SPI,"Springfield, IL: Abraham Lincoln Capital",53.0,5.0,2.91,0.0,1.09,0.0,1.0,2.0,0.0,169.0,100.0,0.0,28.0,0.0,41.0
1,MQ,Envoy Air,SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",88.0,8.0,2.36,0.22,2.45,0.0,2.97,6.0,0.0,263.0,98.0,5.0,66.0,0.0,94.0
1,MQ,Envoy Air,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",31.0,13.0,1.25,0.55,9.9,0.0,1.3,2.0,0.0,537.0,41.0,60.0,391.0,0.0,45.0
1,MQ,Envoy Air,STL,"St. Louis, MO: St Louis Lambert International",59.0,15.0,3.61,2.07,5.05,0.0,4.28,7.0,0.0,683.0,205.0,78.0,218.0,0.0,182.0
1,MQ,Envoy Air,SUX,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",116.0,16.0,0.0,1.69,8.8,0.0,5.51,16.0,0.0,658.0,0.0,88.0,238.0,0.0,332.0
